time,CH1,CH2,CH3,CH4
seconds,VOLT,VOLT,VOLT,VOLT
1X,1X,1X,10X,10X
1593388335,6.655579e-03,1.872925e-03,-4.347839e-03,-3.913055e-02
1593388336,6.688995e-03,1.859558e-03,-3.478393e-03,-3.913055e-02
1593388337,6.254120e-03,1.806030e-03,-1.076935e-02,-3.899658e-02
1593388338,6.655579e-03,1.899658e-03,-5.685730e-03,-3.919739e-02
1593388339,6.588592e-03,1.752503e-03,-4.949951e-03,-3.899658e-02
1593388340,6.387939e-03,1.792664e-03,-3.478393e-03,-3.899658e-02
1593388341,6.822815e-03,1.739136e-03,-5.016785e-03,-3.926422e-02
1593388342,6.387939e-03,1.832764e-03,-7.424621e-03,-3.919739e-02
1593388343,6.421356e-03,1.779236e-03,-4.882813e-03,-3.899658e-02
1593388344,6.956482e-03,1.685608e-03,-5.418091e-03,-3.933105e-02
1593388345,6.521759e-03,1.859558e-03,-8.494873e-03,-3.913055e-02
1593388346,6.354522e-03,1.806030e-03,-1.023407e-02,-3.899658e-02
1593388347,6.688995e-03,1.792664e-03,-8.160400e-03,-3.899658e-02
1593388348,6.722412e-03,1.712402e-03,-5.819397e-03,-3.926422e-02
1593388349,6.722412e-03,1.698975e-03,-5.819397e-03,-3.926422e-02
1593388350,6.488342e-03,1.685608e-03,-9.565124e-03,-3.953186e-02
1593388351,6.722412e-03,1.792664e-03,-7.424621e-03,-3.906342e-02
1593388352,6.622009e-03,1.739136e-03,-2.408142e-03,-3.899658e-02
1593388353,6.856231e-03,1.685608e-03,-9.030151e-03,-3.933105e-02
1593388354,6.521759e-03,1.846130e-03,-6.956482e-03,-3.913055e-02
1593388355,6.622009e-03,1.725769e-03,-5.752563e-03,-3.933105e-02
1593388356,7.157135e-03,1.672241e-03,-6.688843e-03,-3.939789e-02
1593388357,6.688995e-03,1.765869e-03,-2.943115e-03,-3.899658e-02
1593388358,6.622009e-03,1.779236e-03,-1.471558e-03,-3.906342e-02
1593388359,7.123718e-03,1.685608e-03,-6.354370e-03,-3.939789e-02
1593388360,6.889648e-03,1.752503e-03,-6.087036e-03,-3.899658e-02
1593388361,6.622009e-03,1.752503e-03,-8.227539e-03,-3.906342e-02
1593388362,6.655579e-03,1.752503e-03,-3.745727e-03,-3.899658e-02
1593388363,6.488342e-03,1.832764e-03,-3.478393e-03,-3.919739e-02
1593388364,6.989899e-03,1.685608e-03,-9.631958e-03,-3.939789e-02
1593388365,6.655579e-03,2.006714e-03,-4.481506e-03,-3.919739e-02
1593388366,6.755829e-03,1.846130e-03,-3.612061e-03,-3.906342e-02
1593388367,7.123718e-03,1.632080e-03,-9.030151e-03,-3.939789e-02
1593388368,6.521759e-03,1.939819e-03,-4.749145e-03,-3.913055e-02
1593388369,6.688995e-03,1.752503e-03,-1.003357e-02,-3.899658e-02
1593388370,6.454926e-03,1.765869e-03,-5.752563e-03,-3.899658e-02
1593388371,6.655579e-03,1.739136e-03,-6.688843e-03,-3.933105e-02
1593388372,6.588592e-03,1.832764e-03,-6.688843e-03,-3.919739e-02
1593388373,7.023468e-03,1.632080e-03,-5.551758e-03,-3.939789e-02
1593388374,6.387939e-03,1.926392e-03,-6.755981e-03,-3.913055e-02
1593388375,6.822815e-03,1.672241e-03,-1.605225e-03,-3.933105e-02
1593388376,6.354522e-03,1.752503e-03,-2.608642e-03,-3.899658e-02
1593388377,7.056884e-03,1.685608e-03,-1.471558e-03,-3.933105e-02
1593388378,6.755829e-03,1.698975e-03,-6.021118e-04,-3.933105e-02
1593388379,6.923065e-03,1.739136e-03,-2.876282e-03,-3.926422e-02
1593388380,6.789246e-03,1.752503e-03,-3.277588e-03,-3.906342e-02
1593388381,6.387939e-03,1.819397e-03,-9.565124e-03,-3.899658e-02
1593388382,6.454926e-03,1.698975e-03,-1.739197e-03,-3.933105e-02
1593388383,6.722412e-03,1.752503e-03,-6.354370e-03,-3.899658e-02
1593388384,6.488342e-03,1.806030e-03,-2.140503e-03,-3.899658e-02
1593388385,6.588592e-03,1.712402e-03,-5.618591e-03,-3.933105e-02
1593388386,6.622009e-03,1.752503e-03,-7.826232e-03,-3.899658e-02
1593388387,6.588592e-03,1.939819e-03,-4.949951e-03,-3.919739e-02
1593388388,6.856231e-03,1.806030e-03,-3.478393e-03,-3.913055e-02
1593388389,6.588592e-03,1.752503e-03,-1.163879e-02,-3.899658e-02
1593388390,6.822815e-03,1.725769e-03,-5.685730e-03,-3.926422e-02
1593388391,6.655579e-03,1.846130e-03,-1.672363e-03,-3.913055e-02
1593388392,6.722412e-03,1.712402e-03,-6.622009e-03,-3.939789e-02
1593388393,6.655579e-03,1.725769e-03,-2.809448e-03,-3.933105e-02
1593388394,6.655579e-03,1.725769e-03,-4.481506e-03,-3.919739e-02
1593388395,7.190704e-03,1.605347e-03,-5.886230e-03,-3.939789e-02
1593388396,6.588592e-03,1.966553e-03,-1.939697e-03,-3.919739e-02
1593388397,6.555175e-03,1.859558e-03,-5.886230e-03,-3.913055e-02
1593388398,6.688995e-03,1.739136e-03,-7.157288e-03,-3.899658e-02
1593388399,7.157135e-03,1.605347e-03,-2.608642e-03,-3.939789e-02
1593388400,6.989899e-03,1.725769e-03,-6.889648e-03,-3.926422e-02
1593388401,6.254120e-03,1.819397e-03,-2.943115e-03,-3.899658e-02
1593388402,6.822815e-03,1.725769e-03,-5.418091e-03,-3.926422e-02
1593388403,6.923065e-03,1.739136e-03,-4.682312e-03,-3.926422e-02
1593388404,6.421356e-03,1.913025e-03,-3.946533e-03,-3.913055e-02
1593388405,6.755829e-03,1.752503e-03,-6.087036e-03,-3.899658e-02
1593388406,6.822815e-03,1.752503e-03,-4.481506e-03,-3.906342e-02
1593388407,6.387939e-03,1.899658e-03,-6.220703e-03,-3.913055e-02
1593388408,6.588592e-03,1.819397e-03,-1.337891e-03,-3.899658e-02
